City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
303,Nago,26.5881,127.9761,88.23,72,14,3.51,JP,few clouds
304,Ellisras,-23.6649,27.7443,50.18,92,0,4.68,ZA,clear sky
305,Ust-Ilimsk,58.0006,102.6619,61.07,99,100,6.8,RU,light rain
306,Manggar,-2.8833,108.2667,82.35,69,84,13.85,ID,broken clouds
307,Tsiroanomandidy,-18.7667,46.0333,55.35,75,1,0.4,MG,clear sky
308,Guilin,25.2819,110.2864,84.31,71,0,3.22,CN,clear sky
309,Mogadishu,2.0371,45.3438,75.65,83,97,17.25,SO,overcast clouds
310,Iquique,-20.2208,-70.1431,59.04,79,58,2.1,CL,broken clouds
311,Souillac,-20.5167,57.5167,66.58,88,40,4.61,MU,scattered clouds
312,Tilichiki,60.4667,166.1,59.43,59,98,5.35,RU,overcast clouds
313,Batagay-Alyta,67.8006,130.4114,74.16,48,40,1.1,RU,scattered clouds
314,Nouadhibou,20.931,-17.0347,82.38,65,10,6.91,MR,clear sky
315,Marsh Harbour,26.5412,-77.0636,83.35,73,77,14.36,BS,broken clouds
316,Joshimath,30.5667,79.5667,71.17,89,100,0.6,IN,overcast clouds
317,Chigorodo,7.6664,-76.6811,78.6,89,75,5.75,CO,broken clouds
318,Odweyne,9.4092,45.064,70.29,49,43,20.0,SO,scattered clouds
319,Villamontes,-21.25,-63.5,79.29,50,61,3.76,BO,broken clouds
320,Ayan,56.45,138.1667,55.81,91,100,12.39,RU,overcast clouds
321,Caravelas,-17.7125,-39.2481,69.15,88,10,5.37,BR,clear sky
322,Cap Malheureux,-19.9842,57.6142,67.46,79,2,4.0,MU,clear sky
323,Henties Bay,-22.116,14.2845,54.32,93,8,4.76,NA,clear sky
324,Bayugan,8.7561,125.7675,84.47,73,94,2.33,PH,overcast clouds
325,Lufkin,31.3382,-94.7291,96.93,40,0,12.66,US,clear sky
326,La Cruz,23.9167,-106.9,84.42,71,100,7.52,MX,overcast clouds
327,Hami,42.8,93.45,85.28,18,0,7.0,CN,clear sky
328,Quatre Cocos,-20.2078,57.7625,67.08,77,16,9.42,MU,few clouds
329,Touros,-5.1989,-35.4608,73.35,80,66,14.2,BR,broken clouds
330,Chuy,-33.6971,-53.4616,57.25,97,100,7.14,UY,moderate rain
331,Xuddur,4.1213,43.8894,67.41,80,0,18.14,SO,clear sky
332,Ocos,14.5094,-92.1933,82.13,73,92,5.66,GT,overcast clouds
333,Bongandanga,1.5,21.05,70.74,98,89,2.33,CD,overcast clouds
334,Varna,43.2167,27.9167,69.87,96,0,0.0,BG,clear sky
335,Vostok,46.4856,135.8833,66.34,87,100,2.15,RU,overcast clouds
336,Salalah,17.0151,54.0924,75.78,96,100,8.84,OM,overcast clouds
337,Qasigiannguit,68.8193,-51.1922,36.97,97,100,2.06,GL,overcast clouds
338,Isangel,-19.55,169.2667,77.11,94,100,10.36,VU,overcast clouds
339,Guhagar,17.4842,73.1929,77.95,84,100,1.86,IN,overcast clouds
340,Gombong,-7.6072,109.5142,73.9,75,86,2.06,ID,overcast clouds
341,Sevierville,35.8681,-83.5618,80.2,90,0,0.0,US,clear sky
342,Cabra,37.4725,-4.4421,81.84,14,0,0.94,ES,clear sky
343,Port Hueneme,34.1478,-119.1951,86.79,78,20,10.36,US,few clouds
344,Fukue,32.6881,128.8419,80.96,78,20,4.61,JP,few clouds
345,Avera,33.194,-82.5271,85.51,61,99,6.08,US,overcast clouds
